UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
ksru minion kim river,@nearcchu,2024-08-18T02:58:30.000Z,"PLSSS REAL  LOS DOS SON EL DESPERTAR LGBT DEL OTRO 
ellos asi",0,0,0
みすれ,@artworkljoe,2024-08-18T02:58:21.000Z,"""LGBT is a trend"" ok then why are you drawing attention and outlawing it? It'll pass right?",0,0,0
Dan,@AngkorTommyGun,2024-08-18T02:58:21.000Z,"Well, then I feel bad for you. Statistically, people who are LGBT became that way because they were sexually abused. Either way, you can choose not to act on it, so you're still at fault if you choose to. You are responsible for your actions and the consequences of them.",0,0,0
enzo ◤✠◢,@martilottoenzo,2024-08-18T02:58:10.000Z,nojo de quem defende esse assediador e tals mas isso nao é desculpa p vc vir pro tt destilar homofobia de graça nao kkkkk nao é possível que alguem ache normal falar em um meio aberto que lgbt tem que entrar na porrada,0,0,0
Rug ☭,@Rugsksk,2024-08-18T02:58:01.000Z,"Falando sério agr, a comunidade LGBT tem uma cultura problemática de romantizacao de assédio/estupro (isso nn é exclusivo a LBTGs, e eu nn tô generalizando, heteros tbm têm essa problemática), vejo que boa parte desse problema vem da indústria pornografica q normaliza sprr",0,0,0
pasaran,@keseran830,2024-08-18T02:57:46.000Z,"LGBT法案もそう、サヨクメディアの声を聞いてしまい
、自民支持層が離れ、支持率が低下したまま回復せず
今に至る。
トドメは、岸田さん「自分が改憲やらないと！」安部
さんとの約束を果たそうとしたのか？緊急事態条項ま
で、やれなくなってしまったようです。",0,0,0
ゆ ら ら,@YURARA0804,2024-08-18T02:57:40.000Z,"るーちゃんがんばれっっ҉*\( * ॑˘ ॑*  )/*҉
ゆらは…
前言ったから公開しなくていいよねっ！？",0,0,0
センターパート,@wavesea48,2024-08-18T02:57:19.000Z,こういう奴がいるからLGBTが敬遠されるんだよ。,0,0,0
riyu,@itsmejune_,2024-08-18T02:57:19.000Z,Lgbt itu dia nder ,0,0,0
Duda com medo do vestibular,@facilmenteodvl,2024-08-18T02:57:11.000Z,"Plot twist pra quem?? Vcs esperavam oq gente?? Se for lgbt no país dela vc vai preso, vcs acharam oq??",0,0,0
Macey Price,@RainbowBro23,2024-08-18T02:57:11.000Z,"#UFC305
Jackson extreme wrestling
Jade Jackson had defeated lyo Sky in the back and forth phenomenal championship match. It was a great idea to put my first championship on Jade.
#lgbt #tiktok #goat",0,0,0
iruni,@il_0410,2024-08-18T02:57:07.000Z,"Warning: 
1. Cerita mengandung LGBT, BxB. 
2. Tentang Markhyuck 
3. Please ignore all mistakes (timestamps, typo) 
4. Cerita murni karangan",0,0,0
mto/,@spelma_gic,2024-08-18T02:56:54.000Z,LGBTとか公平性謳っとる欧米人たちがオリンピックで不平等押し付けてくるのまじおもろかった,0,0,0
1969 Sport,@1969Sport,2024-08-18T02:56:47.000Z,"Oui comme pour le sida, mais il ne faut surtout pas montrer du doigt les LGBT qui se payent du petit noir en Afrique ou qui exploitent les clandos en France",0,0,0
like a vanishing star ✧,@kayyubasah,2024-08-18T02:56:38.000Z,Kalo benar please banyakin lgbt di IKN ,0,0,0
Jay Julian,@JayJNoPlay,2024-08-18T02:56:37.000Z,"1. It’s a hypothetical. You need at least a 75 IQ to get it. I guess you lack it 

2. No one hates lgbt until they started dancing for children half naked. They are just a tool used by politicians and a certain group of people to confuse the youth. 

3. You should care because",0,0,0
Adolph,@HitlerIncarnate,2024-08-18T02:56:34.000Z,omg the irony,0,0,0
𝐇𝐞𝐢𝐭𝐨𝐫,@Juicewaste,2024-08-18T02:56:34.000Z,"óbvio que foi uma ofensa, no país dela é proibido ser lgbt, pq que militante nao usa a cabeça",0,0,0
Pedro/ guilty pleasure,@Pedrofh17,2024-08-18T02:55:38.000Z,Odeio como hetero tem curiosidade em saber se um lgbt é lgbt,0,0,0
HeizoKou666 𖤐,@Heizo_kou,2024-08-18T02:55:31.000Z,"Si les gusta el pene y no es su personalidad entera si son

Si son de los que llaman la atencion por llamarla con tailor swift, siendo trans-activista, los representa el movimiento LGBT+ y se la pasan diciendo frases de la wendy guevara

Ten por seguro que lo son por moda",0,0,0
