UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
amo big rush,@eucardox,2024-03-12T23:56:28.000Z,"perai, lgbt??!",0,0,0
lautaro,@lautaradito_,2024-03-12T23:53:08.000Z,lgbt?,0,0,0
LatarNanggroe,@latarterkemban4,2024-03-12T23:52:13.000Z,"Pengikut LGBT Laknatullah

Astaghfirullah
Na'udzubillahiminzalik",0,0,0
Zakiul Helmi,@HelmiZakiul,2024-03-12T23:48:47.000Z,"Yang jelas lgbt itu penyakit. Berobat sana
Identitas kok lubang ee'",0,0,0
joy.#TimeAmaury,@enjyyme,2024-03-12T23:45:35.000Z,"24, lgbt",0,0,0
,@gesyaxx,2024-03-12T23:38:19.000Z,tidak beragama >>> tidak punya pedoman hidup >>> hidup seenaknya >>> seks bebas >>> lgbt >>> HIV,0,0,0
Throstén,@Vincentthrs,2024-03-12T23:37:08.000Z,Lgbt ,0,0,0
Daniel Prasatyo,@daprast,2024-03-12T23:34:24.000Z,"Punya teman yang bukan LGBT? 
Punya, dong. Tapi memang nggak banyak. 

Beberapa membuatku lelah, karena selalu menjadikan kegayanku sebagai topik. Seakan-akan nggak ada hal lain yang lebih penting.",0,0,0
karl marx idiot,@tukangrtweet17,2024-03-12T23:32:16.000Z,"Habis ini bakal muncul narasi semacam kaum lgbt idiot ""nafsu pada hewan adalah hak asasi manusia"". Terus nafsu ke hewan masuk ke dalam orientasi seksual ala lgbt idiot dan memperbanyak gender menurut mereka jadi 20-30 gender.",0,0,0
Demonic Angel,@winnyiethepooh,2024-03-12T23:31:33.000Z,"Dan faktanya pengidap HIV tertinggi adalah golongan ibu rumah tangga, bukan LGBT",0,0,0
Alex Adi,@Al3xa3rd,2024-03-12T23:22:12.000Z,"Sebenarnya di luar sana udah ada clash antara LGB dan LGBT perkara T yg bikin ulah. Tapi kondisi di luar, lebih tepatnya di barat, ga bisa diaplikasikan ke sini krn beda situasi (dimana T nya belum se extrim yg disana). Makanya perlu dibuat aturan hukum ketat soal ganti sex ini",0,0,0
MARS,@Adikaguna,2024-03-12T23:10:57.000Z,"Ga ada yang minta penerimaan disini, mba nya cuma nanya emang ada firman allah yang nyuruh benci thp manusia lgbt?",0,0,0
noelll,@noel_lvne,2024-03-12T23:09:55.000Z,lgbt,0,0,0
Oma Icha /热依扎,@rizahariati,2024-03-12T23:08:52.000Z,"Dana Israel emang unlimited.
Kenapa ya Israel begitu napsu pengen diterima oleh Indonesia.

Padahal kita ini udah dicap jelek2 oleh Israel dan begundalnya :
Teroris, radikal, anti LGBT, pemalas, bodoh, penindas, azan berisik, bla bla...

Tapi ngotot mo temenan sama kita.",0,0,0
nas,@artnice27,2024-03-12T23:07:42.000Z,Ini tweetnya konteksnya lgbt padahal,0,0,0
dimskuy,@adimasfajars,2024-03-12T22:58:54.000Z,"Yg paling anjg romancenya sih maksain bgt masukin lgbt ,fakk lah",0,0,0
noelll,@noel_lvne,2024-03-12T22:43:00.000Z,lgbt,0,0,0
bambang pmulang,@Ekokucayy,2024-03-12T22:40:37.000Z,Lu kaum homo nya ngapain dulu klo dia minta diakuin terus mau bikin gay parade yaiyalah kocak dipersekusi udh tau indonesia udh jelas nolak lgbt. Lu diem diem aje udeh klo mau homoan,0,0,0
bambang pmulang,@Ekokucayy,2024-03-12T22:24:01.000Z,Gimana sih orng lgi ngomongin prinsip kok jdi dosa siapa salah siapa. Kam dia bilang dia homofobik karna gk suka perilaku lgbt itu udehh gausah bebal klo dikasih tau klo lgbt kgk bisa diterima disini,0,0,0
Kang Repost0401,@Suhardi36316834,2024-03-12T22:23:46.000Z,"Kafir bicara agama lain tp tdk lihat penganut agamanya sendiri kayak apa , LGBT, penyembah setan, penjajah dan semua kelakuan2 buruk itu mayoritas dikerjakan penganut agama diluar islam, gimana tidak kitab mu sendiri mengajarkan itu ",0,0,0
bambang pmulang,@Ekokucayy,2024-03-12T22:19:58.000Z,Kan tamu (malaikat) yang diturunkan oleh Allah itu diutus untuk mengazab dan juga ujian kpada si.kaum luth itu sndiri krna udh ngingkarin apa yng dikatakan luth pada kaum sodom untuk gk nglakuin hal lgbt. Cman kaum ini bebal,0,0,0
nas,@artnice27,2024-03-12T22:14:03.000Z,"Diskriminasi apaan, emang harusnya lgbt gapernah ada, kudu dibasmi.",0,0,0
Juan Carlos MM,@Marchan1859,2024-03-12T22:14:01.000Z,Lgbt?,0,0,0
nas,@artnice27,2024-03-12T22:12:26.000Z,"Diskriminatif apaan, itu sama aj u dukung lgbt, stress bgt",0,0,0
Hara Switch M,@FREQUENTLYASK3D,2024-03-12T22:10:03.000Z,"jujur LGBT ini membingungkan, mau menerima tapi LGBT di luar sana sungguh menjengkelkan apalagi melihat kisah transgender yang operasi dan akhirnya menyesal.

beberapa trans MtF juga menggeser perempuan asli di bidang olahraga karena secara fisik laki-laki lebih unggul.",0,0,0
rai,@raywsiie,2024-03-12T22:05:45.000Z,lgbt ,0,0,0
Mozmarr,@HankMoo70143968,2024-03-12T21:50:30.000Z,"Ya Kak, sebenarnya dgn kondisi seperti ini bkn hanya mereka yg menderita, keluarga pun sangat berat menerima kondisi tsb, seandainya saling sabar dlm memperbaiki keadaan pasti bisa, tapi yang pertama harus disadari adalah LGBT itu sesuatu yang salah",0,0,0
nicholz,@Chamomileyz,2024-03-12T21:44:02.000Z,"lah apa hubungannya performa timnas sama tindakan dukung lgbt, ada ada aja orang indo",0,0,0
Fack ih,@ChannZhy,2024-03-12T21:42:46.000Z,"Waw wew wow, Apakah LGBT akan d Terima? Agama mana yg nerima LGBT? stres bnget klo LGBT d terima",0,0,0
