UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
MERAH DELIMA,@FreeManNKRI,2024-01-04T18:18:02.000Z,cawapres mpud kan bilang LGBT adalah Kodrat  Capresnya uban doyan bokep ,0,0,0
Asmodeus,@FranklinCo33175,2024-01-04T18:16:29.000Z,LgbT,0,0,0
cubin,@skenaskontol,2024-01-04T18:14:25.000Z,aku jg punya grup lgbt di jurusan trus pernah satu hari kita mau bikin grup safe place buat kampus gitu eh salah satunya ada yg cepu ke bem trus aku sama temen temenku dilabrak anjinggggggg wkwkw akhirnya grupnya bubar,0,0,0
ℋ𝒜ℒ𝒶ℒ 𝒫𝒜𝒫ℐ🜲,@1realtaylor,2024-01-04T18:04:54.000Z,Wo kwasia s3 lgbt activist. Wo gyemi b3 yooyo,0,0,0
Mehmet Akif,@MehmetAkif87654,2024-01-04T17:51:39.000Z,LGBT desek mi?,0,0,0
néo～! ΘΔ&,@calculatedSquid,2024-01-04T17:51:06.000Z,awawa~ >w<,0,0,0
mari⁵⁵,@smoothsainzs,2024-01-04T17:35:54.000Z,lgbt,0,0,0
Apak Edo XYZ,@ApakEdo72,2024-01-04T17:30:45.000Z,"Cikal bakal LGBT akan berkembang di daerah yg dia tempati, rusak otak orang ini.",0,0,0
néo～! ΘΔ&,@calculatedSquid,2024-01-04T17:27:04.000Z,awawa ty~ :3,0,0,0
بب,@AhadSoab,2024-01-04T17:22:12.000Z,iski author lgbt hai lekin kitaanb achi hai,0,0,0
MACH5,@MACHGO174414,2024-01-04T17:18:31.000Z,LGBT？,0,0,0
Rafc,@rafa_rkx,2024-01-04T17:16:21.000Z,"Eanda baadu may 2023 bb munnadi PR ombura velaiku sernthutu eacha naai ne pesura oorni vesi kaga LGBT Maya oda p ..

Avaruku theriyum da oorni mama payale",0,0,0
Rafc,@rafa_rkx,2024-01-04T17:14:42.000Z,Eanda baadu may 2023 bb munnadi PR ombura velaiku sernthutu eacha naai ne pesura oorni vesi kaga LGBT Maya oda p ..,0,0,0
