UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
,@itsquaileggs,2024-03-25T23:47:11.000Z,"Wkwkwk pedo kontol ini kemaren sok2an bawa2 lgbt buat jatohin paslon lain pula anjeng padal aslinya homophobic, nerbener urat malunya uda putus bajer hypocrite ini",0,0,0
g09thebook,@Abdulla17663100,2024-03-25T23:42:02.000Z,"Maju terus usir pelaku LGBT
#vladimirputin",0,0,0
Randomthoughts,@Randomt61609964,2024-03-25T23:37:26.000Z,"Klo aku liatnya klo di Indo, konteks SJW tu yg  'menggebrak' tatanan yg udh ada & dtrima/dipaksa nerima. Nah masi byk masy kita yg ga terbiasa ato kagetlah dgn apa yg mereka perjuangkan. Makanya pada nolak. Aplg yg ngebela hak2 minoritas, misalnya hak kaum LGBT.",0,0,0
ziyech1610,@ziyech1610,2024-03-25T23:27:47.000Z,"Tulis aja yg jelas LGBT ditetapkan sbg Teroris.
Knp hrs dihiden nulisnya",0,0,0
Rivgata,@DaLepus,2024-03-25T23:06:25.000Z,lgbt,0,0,0
af,@AfaChree,2024-03-25T23:02:36.000Z,Matikan LGBT !!!,0,0,0
Albiesocialist,@albiesocialist,2024-03-25T23:01:38.000Z,lgbt,0,0,0
Litenad,@ali_printed,2024-03-25T23:00:03.000Z,"Ga ada hubungannya, lgbt tetep bisa punya anak, bisa lewat iv, bisa lewat surrogate, atau adopsi.",0,0,0
“_” ッ “_”,@Go_Drill,2024-03-25T22:53:16.000Z,"napa harus dibintangin sik min..?

tulis LGBT LGBTQ+ gitu emang napa..?

bakal di banned sama 
@elonmusk
 gitu…?",0,0,0
Mari,@CutieMari_,2024-03-25T22:50:22.000Z,lgbt,0,0,0
kopi tubruk,@prokontraID,2024-03-25T22:38:05.000Z,Kalo disini lgbt ada banyak yg belain,0,0,0
followers_ulama,@follower_ulama,2024-03-25T22:36:52.000Z,Byngin jika ini d berlakukan ke org2 yg punya kelainan sex sprt LGBT...yakin dah langsung tegap...gagah...dan berwibawa...gk melambai lg ,0,0,0
✧ ₊˚. ᴀʟᴇxᴀɴᴅᴇʀ⋆.ᡣ𐭩.!!,@axl_bolofofo,2024-03-25T22:35:42.000Z,LGBT,0,0,0
Arva Wong,@ilhamgyat,2024-03-25T22:33:04.000Z,ada gk film horor lgbt terus si lgbt nya digentayangi setan?,0,0,0
Arva Wong,@ilhamgyat,2024-03-25T22:29:37.000Z,azab lgbt,0,0,0
Varanka,@Aninnnk,2024-03-25T22:27:45.000Z,Lgbt Varanka ,0,0,0
Kes ⁷ ᴱᴺ⁻,@shookethadmiral,2024-03-25T22:17:06.000Z,LGBT FORMER RYUSETAI GUY ?!?!?!?!!,0,0,0
SUPERCAMPEÃO,@joaofp_,2024-03-25T21:36:11.000Z,lgBt,0,0,0
aul part 2,@cewenyaryan,2024-03-25T21:26:24.000Z,"jgn karena skrg dunia yg udah gila ini normalisasi hal lgbt, boti2 binal ga waras kek thread diatas malah jadi merajalela dan menyalahkan hak cewe yang SEHARUSNYA emang berjodoh sama cowo. adam diciptain buat hawa, bukan buat yanto. geli banget",0,0,0
𝐅𝐫𝐨𝐧𝐭 𝐑𝐞𝐩𝐮𝐛𝐥𝐢𝐤,@Rajo_Angga,2024-03-25T21:15:50.000Z,"Sudah saatnya di Indonesia para LGBT itu dinyatakan sebagai teroris, karena merusak akidah manusia.....",0,0,0
istri sah Johnny Kun,@echantukubakso,2024-03-25T21:13:35.000Z,"Gk ada kaitannya dg puasa dan sholat nder, temen kerjaku ada yg LGBT, tiap minggu ibadah ke gereja bareng couplenya, bangga setiap ceritain couplenya ini, sampe temen kerja yg lain terang-terangan ngatain dia, dan orangnya santai bgt, tapi gk tau ya kalo dia sakit hati",0,0,0
Parisli Çocuk,@Parislicocuk,2024-03-25T21:02:14.000Z,LGBT,0,0,0
Murat,@dg5m2734,2024-03-25T21:01:45.000Z,Lgbt li longu girilir mi hocam  ?,0,0,0
